species_a,species_b,class_a,class_b,order_a,order_b,family_a,family_b,genus_a,genus_b,pair_class,relation,divergence_mya,divergence_years,divergence_source,timetree_study_count,timetree_ci_low,timetree_ci_high,timetree_name_a,timetree_name_b,n_calls_a,n_calls_b,n_pairs,alignment_r,alignment_fisher_z,log10_divergence_mya
African grey parrot (Psittacus erithacus),Patas monkey (Erythrocebus patas),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Erythrocebus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Erythrocebus patas,5,6,30,0.34683554298852076,0.36184206582824924,2.503722606486479
African grey parrot (Psittacus erithacus),Plain-tailed wren (Pheugopedius euophrys),Aves,Aves,Psittaciformes,Passeriformes,Psittacidae,Troglodytidae,Psittacus,Pheugopedius,Aves,same_class,67.814305,67814305.0,TimeTree API pairwise summaryjson,12.0,56.259865,86.0,Pheugopedius euophrys,Psittacus erithacus,5,3,15,0.6087252086756353,0.7068936221173577,1.8313213152131547
African grey parrot (Psittacus erithacus),Poison dart frogs (Dendrobatidae; various genera),Aves,Amphibia,Psittaciformes,Anura,Psittacidae,Dendrobatidae,Psittacus,,Cross-class,cross_class,351.686545,351686545.0,TimeTree API pairwise summaryjson,32.0,348.4,355.7,Dendrobatidae,Psittacus erithacus,5,2,10,-0.3504734526084944,-0.36598340336410146,2.546155753178947
African grey parrot (Psittacus erithacus),Putty-nosed monkey (Cercopithecus nictitans),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Cercopithecus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Cercopithecus nictitans,5,7,35,0.18618960547652075,0.18838701409054573,2.503722606486479
African grey parrot (Psittacus erithacus),Red colobus (Piliocolobus spp.),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Piliocolobus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Piliocolobus,5,5,25,0.3869503595025598,0.4082083587900921,2.503722606486479
African grey parrot (Psittacus erithacus),Red-tailed monkey (Cercopithecus ascanius),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Cercopithecus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Cercopithecus ascanius,5,7,35,0.29273845695209094,0.30155877554721944,2.503722606486479
African grey parrot (Psittacus erithacus),Rhesus macaque (Macaca mulatta),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Macaca,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Macaca mulatta,5,8,40,0.13556470848381832,0.13640444756891562,2.503722606486479
African grey parrot (Psittacus erithacus),Ring-tailed lemur (Lemur catta),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Lemuridae,Psittacus,Lemur,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Lemur catta,5,6,30,0.42827880408583,0.4577869559886217,2.503722606486479
African grey parrot (Psittacus erithacus),Siamang (Symphalangus syndactylus),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Hylobatidae,Psittacus,Symphalangus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Symphalangus syndactylus,5,4,20,0.2516420868489392,0.2571651403081313,2.503722606486479
African grey parrot (Psittacus erithacus),Spotted hyena (Crocuta crocuta),Aves,Mammalia,Psittaciformes,Carnivora,Psittacidae,Hyaenidae,Psittacus,Crocuta,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Crocuta crocuta,Psittacus erithacus,5,6,30,0.4003996875638513,0.42412483933647405,2.503722606486479
African grey parrot (Psittacus erithacus),Talapoin monkey (Miopithecus talapoin),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Miopithecus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Miopithecus talapoin,5,7,35,0.09857965466838947,0.09890086029764328,2.503722606486479
African grey parrot (Psittacus erithacus),Tufted capuchin (Sapajus apella),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cebidae,Psittacus,Sapajus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Sapajus apella,5,8,40,0.21843384165604257,0.2220108874077479,2.503722606486479
African grey parrot (Psittacus erithacus),Túngara frog (Engystomops pustulosus),Aves,Amphibia,Psittaciformes,Anura,Psittacidae,Leptodactylidae,Psittacus,Engystomops,Cross-class,cross_class,351.686545,351686545.0,TimeTree API pairwise summaryjson,32.0,348.4,355.7,Engystomops pustulosus,Psittacus erithacus,5,3,15,0.13706899097490652,0.13793721264616657,2.546155753178947
African grey parrot (Psittacus erithacus),Vervet monkey (Chlorocebus pygerythrus),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Chlorocebus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Chlorocebus pygerythrus,5,8,40,0.2268270416222161,0.23084185066213103,2.503722606486479
African grey parrot (Psittacus erithacus),Western Gorilla (Gorilla gorilla),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Hominidae,Psittacus,Gorilla,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Gorilla gorilla,5,9,45,0.38996431387096164,0.41175794750698347,2.503722606486479
African grey parrot (Psittacus erithacus),White-browed sparrow-weaver (Plocepasser mahali),Aves,Aves,Psittaciformes,Passeriformes,Psittacidae,Ploceidae,Psittacus,Plocepasser,Aves,same_class,67.814305,67814305.0,TimeTree API pairwise summaryjson,12.0,56.259865,86.0,Plocepasser mahali,Psittacus erithacus,5,4,20,0.6513506964219054,0.7776411398648415,1.8313213152131547
African grey parrot (Psittacus erithacus),Yellow baboon (Papio cynocephalus),Aves,Mammalia,Psittaciformes,Primates,Psittacidae,Cercopithecidae,Psittacus,Papio,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Psittacus erithacus,Papio cynocephalus,5,7,35,0.18262332270140855,0.1846951834023497,2.503722606486479
African grey parrot (Psittacus erithacus),Zebra finch (Taeniopygia guttata),Aves,Aves,Psittaciformes,Passeriformes,Psittacidae,Estrildidae,Psittacus,Taeniopygia,Aves,same_class,67.814305,67814305.0,TimeTree API pairwise summaryjson,12.0,56.259865,86.0,Psittacus erithacus,Taeniopygia guttata,5,7,35,0.21071782619631987,0.21392240791951164,1.8313213152131547
African savanna elephant (Loxodonta africana),American bullfrog (Lithobates catesbeianus),Mammalia,Amphibia,Proboscidea,Anura,Elephantidae,Ranidae,Loxodonta,Lithobates,Cross-class,cross_class,351.686545,351686545.0,TimeTree API pairwise summaryjson,32.0,348.4,355.7,Aquarana catesbeiana,Loxodonta africana,8,5,40,0.18965111682157898,0.1919752445360077,2.546155753178947
African savanna elephant (Loxodonta africana),Bengalese finch (Lonchura striata domestica),Mammalia,Aves,Proboscidea,Passeriformes,Elephantidae,Estrildidae,Loxodonta,Lonchura,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Loxodonta africana,Lonchura striata domestica,8,6,48,-0.32390875637744315,-0.3360078881459266,2.503722606486479
African savanna elephant (Loxodonta africana),Black-and-white colobus (Colobus guereza),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Cercopithecidae,Loxodonta,Colobus,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Colobus guereza,8,5,40,-0.2025768098496025,-0.20541817917262606,1.9964621982914958
African savanna elephant (Loxodonta africana),Bonobo (Pan paniscus),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Hominidae,Loxodonta,Pan,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Pan paniscus,8,14,112,-0.009751104892383131,-0.009751413968186965,1.9964621982914958
African savanna elephant (Loxodonta africana),Bornean Orangutan (Pongo pygmaeus),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Hominidae,Loxodonta,Pongo,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Pongo pygmaeus,8,32,256,-0.13450488336879504,-0.1353249381428607,1.9964621982914958
African savanna elephant (Loxodonta africana),Brown lemurs (Eulemur spp.),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Lemuridae,Loxodonta,Eulemur,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Eulemur,8,5,40,0.0036953022249516117,0.0036953190451918367,1.9964621982914958
African savanna elephant (Loxodonta africana),Campbell's monkey (Cercopithecus campbelli),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Cercopithecidae,Loxodonta,Cercopithecus,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Cercopithecus campbelli,8,7,56,-0.33985481264188294,-0.35392837331311283,1.9964621982914958
African savanna elephant (Loxodonta africana),Carolina chickadee (Poecile carolinensis),Mammalia,Aves,Proboscidea,Passeriformes,Elephantidae,Paridae,Loxodonta,Poecile,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Poecile carolinensis,Loxodonta africana,8,4,32,-0.439592722130548,-0.4717258597070932,2.503722606486479
African savanna elephant (Loxodonta africana),Chacma baboon (Papio ursinus),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Cercopithecidae,Loxodonta,Papio,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Papio ursinus,8,6,48,0.0626757677228923,0.06275803043300332,1.9964621982914958
African savanna elephant (Loxodonta africana),Chestnut-crowned babbler (Pomatostomus ruficeps),Mammalia,Aves,Proboscidea,Passeriformes,Elephantidae,Pomatostomidae,Loxodonta,Pomatostomus,Cross-class,cross_class,318.95,318950000.0,TimeTree API pairwise summaryjson,30.0,316.0,322.37,Loxodonta africana,Pomatostomus ruficeps,8,4,32,-0.4445305183934465,-0.4778629890103111,2.503722606486479
African savanna elephant (Loxodonta africana),Chimpanzee (Pan troglodytes),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Hominidae,Loxodonta,Pan,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Pan troglodytes,8,13,104,-0.08020974868453412,-0.08038242832859303,1.9964621982914958
African savanna elephant (Loxodonta africana),Common marmoset (Callithrix jacchus),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Callitrichidae,Loxodonta,Callithrix,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Callithrix jacchus,8,8,64,0.009644844812469825,0.00964514389339698,1.9964621982914958
African savanna elephant (Loxodonta africana),Crowned monkey / Crowned guenon (Cercopithecus pogonias),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Cercopithecidae,Loxodonta,Cercopithecus,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Cercopithecus pogonias,8,5,40,-0.011350095166139617,-0.011350582594533826,1.9964621982914958
African savanna elephant (Loxodonta africana),De Brazza’s monkey (Cercopithecus neglectus),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Cercopithecidae,Loxodonta,Cercopithecus,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Cercopithecus neglectus,8,7,56,0.039430420204247155,0.03945087420916866,1.9964621982914958
African savanna elephant (Loxodonta africana),Diana monkey (Cercopithecus diana),Mammalia,Mammalia,Proboscidea,Primates,Elephantidae,Cercopithecidae,Loxodonta,Cercopithecus,Mammalia,same_class,99.1887,99188700.0,TimeTree API pairwise summaryjson,27.0,94.7,101.9,Loxodonta africana,Cercopithecus diana,8,6,48,-0.15059407665516383,-0.1517482424744427,1.9964621982914958
