species_a,species_b,timetree_taxon_id_a,timetree_taxon_id_b,timetree_query_a,timetree_query_b,timetree_name_a,timetree_name_b,timetree_mya,timetree_ci_low,timetree_ci_high,timetree_study_count,timetree_source,timetree_error
Meerkat (Suricata suricatta),Drill (Mandrillus leucophaeus),37032,9568,Suricata suricatta,Mandrillus leucophaeus,Suricata suricatta,Mandrillus leucophaeus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Red colobus (Piliocolobus spp.),37032,591932,Suricata suricatta,Piliocolobus,Suricata suricatta,Piliocolobus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Black-and-white colobus (Colobus guereza),37032,33548,Suricata suricatta,Colobus guereza,Suricata suricatta,Colobus guereza,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Langurs (Semnopithecus spp. / Trachypithecus spp.),37032,88028,Suricata suricatta,Semnopithecus,Suricata suricatta,Semnopithecus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Chimpanzee (Pan troglodytes),37032,9598,Suricata suricatta,Pan troglodytes,Suricata suricatta,Pan troglodytes,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Bonobo (Pan paniscus),37032,9597,Suricata suricatta,Pan paniscus,Suricata suricatta,Pan paniscus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Western Gorilla (Gorilla gorilla),37032,9593,Suricata suricatta,Gorilla gorilla,Suricata suricatta,Gorilla gorilla,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Eastern Gorilla (Gorilla beringei),37032,499232,Suricata suricatta,Gorilla beringei,Suricata suricatta,Gorilla beringei,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Bornean Orangutan (Pongo pygmaeus),37032,9600,Suricata suricatta,Pongo pygmaeus,Suricata suricatta,Pongo pygmaeus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Siamang (Symphalangus syndactylus),37032,9590,Suricata suricatta,Symphalangus syndactylus,Suricata suricatta,Symphalangus syndactylus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),"Gibbons (Hylobates spp., Nomascus spp., Hoolock spp.)",37032,9578,Suricata suricatta,Hylobates,Suricata suricatta,Hylobates,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Brown lemurs (Eulemur spp.),37032,13513,Suricata suricatta,Eulemur,Suricata suricatta,Eulemur,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Indri (Indri indri),37032,34827,Suricata suricatta,Indri indri,Suricata suricatta,Indri indri,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Rhesus macaque (Macaca mulatta),37032,9544,Suricata suricatta,Macaca mulatta,Suricata suricatta,Macaca mulatta,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Japanese macaque (Macaca fuscata),37032,9542,Suricata suricatta,Macaca fuscata,Suricata suricatta,Macaca fuscata,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Vervet monkey (Chlorocebus pygerythrus),37032,60710,Suricata suricatta,Chlorocebus pygerythrus,Suricata suricatta,Chlorocebus pygerythrus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Campbell's monkey (Cercopithecus campbelli),37032,303588,Suricata suricatta,Cercopithecus campbelli,Suricata suricatta,Cercopithecus campbelli,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Olive baboon (Papio anubis),37032,9555,Suricata suricatta,Papio anubis,Suricata suricatta,Papio anubis,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Yellow baboon (Papio cynocephalus),37032,9556,Suricata suricatta,Papio cynocephalus,Suricata suricatta,Papio cynocephalus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Ring-tailed lemur (Lemur catta),37032,9447,Suricata suricatta,Lemur catta,Suricata suricatta,Lemur catta,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Mouse lemurs (Microcebus spp.),37032,13149,Suricata suricatta,Microcebus,Suricata suricatta,Microcebus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Tufted capuchin (Sapajus apella),37032,9515,Suricata suricatta,Sapajus apella,Suricata suricatta,Sapajus apella,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Common marmoset (Callithrix jacchus),37032,9483,Suricata suricatta,Callithrix jacchus,Suricata suricatta,Callithrix jacchus,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Howler monkey (Alouatta spp.),37032,9499,Suricata suricatta,Alouatta,Suricata suricatta,Alouatta,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
Meerkat (Suricata suricatta),Diana monkey (Cercopithecus diana),37032,36224,Suricata suricatta,Cercopithecus diana,Suricata suricatta,Cercopithecus diana,94.0,91.5,97.4,63.0,TimeTree API pairwise summaryjson,
